,0
0,['sleep']
1,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
2,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
3,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
4,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
5,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
6,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
7,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
8,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
9,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
10,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']"
11,"['bebop', 'cool jazz', 'free jazz', 'jazz']"
12,"['bebop', 'cool jazz', 'free jazz', 'jazz']"
13,"['bebop', 'cool jazz', 'free jazz', 'jazz']"
14,"['bebop', 'cool jazz', 'free jazz', 'jazz']"
15,"['bebop', 'cool jazz', 'free jazz', 'jazz']"
16,[]
17,[]
18,[]
19,[]
20,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
21,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
22,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
23,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
24,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
25,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
26,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
27,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
28,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
29,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
30,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
31,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
32,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
33,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
34,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
35,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
36,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
37,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
38,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
39,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
40,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
41,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
42,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
43,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
44,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
45,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
46,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
47,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
48,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
49,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
50,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
51,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
52,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
53,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
54,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
55,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
56,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
57,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
58,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
59,"['classical', 'impressionism', 'post-romantic era']"
60,"['classical', 'impressionism', 'post-romantic era']"
61,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']"
62,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
63,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
64,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
65,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
66,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
67,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
68,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
69,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
70,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
71,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
72,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
73,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
74,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
75,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']"
76,['oriental classical']
77,['oriental classical']
78,['oriental classical']
79,['oriental classical']
80,['oriental classical']
81,['oriental classical']
82,['oriental classical']
83,['oriental classical']
84,['oriental classical']
85,['oriental classical']
86,"['baroque', 'classical', 'early music', 'german baroque']"
87,"['classical', 'early romantic era', 'polish classical']"
88,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'vocal jazz']"
89,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'vocal jazz']"
90,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'vocal jazz']"
91,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'vocal jazz']"
92,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'vocal jazz']"
93,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'vocal jazz']"
94,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
95,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
96,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
97,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
98,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
99,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
100,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
101,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
102,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
103,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
104,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
105,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
106,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
107,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
108,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
109,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
110,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
111,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
112,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
113,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
114,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
115,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
116,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
117,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
118,"['classical', 'early modern classical', 'neoclassicism']"
119,"['classical', 'early modern classical', 'neoclassicism']"
120,"['classical', 'early modern classical', 'neoclassicism']"
121,"['classical', 'early modern classical', 'neoclassicism']"
122,"['classical', 'early modern classical', 'neoclassicism']"
123,"['classical', 'early modern classical', 'neoclassicism']"
124,"['classical', 'early modern classical', 'neoclassicism']"
125,"['classical', 'early modern classical', 'neoclassicism']"
126,"['classical', 'early modern classical', 'neoclassicism']"
127,"['classical', 'early modern classical', 'neoclassicism']"
128,"['classical', 'early modern classical', 'neoclassicism']"
129,"['classical', 'early modern classical', 'neoclassicism']"
130,"['classical', 'early modern classical', 'neoclassicism']"
131,"['classical', 'early modern classical', 'neoclassicism']"
132,"['bebop', 'cool jazz', 'jazz', 'jazz piano']"
133,"['bebop', 'cool jazz', 'jazz', 'jazz piano']"
134,"['bebop', 'cool jazz', 'jazz', 'jazz piano']"
135,"['bebop', 'cool jazz', 'jazz', 'jazz piano']"
136,"['bebop', 'cool jazz', 'jazz', 'jazz piano']"
137,"['bebop', 'cool jazz', 'jazz', 'jazz piano']"
138,"['bebop', 'cool jazz', 'jazz', 'jazz piano']"
139,"['bebop', 'cool jazz', 'jazz', 'jazz piano']"
140,"['bebop', 'cool jazz', 'jazz', 'jazz piano']"
