,0
0,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']"
1,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']"
2,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']"
3,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']"
4,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']"
5,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']"
6,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']"
7,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']"
8,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'post-romantic era', 'serialism']"
9,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
10,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
11,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
12,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
13,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
14,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
15,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
16,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
17,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
18,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
19,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
20,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
21,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
22,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
23,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
24,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
25,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
26,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
27,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
28,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
29,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
30,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
31,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
32,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
33,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
34,"['crossover thrash', 'death metal', 'deathrash', 'metal', 'old school thrash', 'thrash metal', 'wisconsin metal']"
35,"['classical', 'late romantic era', 'russian romanticism']"
36,"['classical', 'late romantic era', 'russian romanticism']"
37,"['classical', 'late romantic era', 'russian romanticism']"
38,"['classical', 'late romantic era', 'russian romanticism']"
39,"['classical', 'late romantic era', 'russian romanticism']"
40,"['alternative dance', 'art pop', 'electroclash', 'electropop', 'neo-synthpop', 'new rave']"
41,"['alternative dance', 'art pop', 'electroclash', 'electropop', 'neo-synthpop', 'new rave']"
42,"['alternative dance', 'art pop', 'electroclash', 'electropop', 'neo-synthpop', 'new rave']"
43,"['alternative dance', 'art pop', 'electroclash', 'electropop', 'neo-synthpop', 'new rave']"
44,"['alternative dance', 'art pop', 'electroclash', 'electropop', 'neo-synthpop', 'new rave']"
45,[]
46,[]
47,[]
48,[]
49,[]
50,[]
51,[]
52,[]
53,[]
54,[]
55,[]
56,[]
57,[]
58,[]
59,[]
60,[]
61,[]
62,[]
63,[]
64,[]
65,[]
66,[]
67,[]
68,[]
69,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
70,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
71,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
72,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
73,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
74,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
75,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
76,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
77,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
78,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
79,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
80,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
81,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
82,"['alternative metal', 'alternative rock', 'comic', 'funk metal', 'funk rock', 'nu metal', 'rap rock', 'rock']"
83,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
84,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
85,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
86,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
87,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
88,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
89,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
90,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
91,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
92,"['death metal', 'german metal', 'german thrash metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'power metal', 'speed metal', 'thrash metal']"
