,0
0,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
1,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
2,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
3,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
4,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
5,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
6,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
7,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
8,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
9,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
10,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
11,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
12,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
13,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
14,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
15,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
16,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
17,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
18,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
19,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
20,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
21,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
22,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
23,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
24,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
25,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
26,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'metal', 'rock', 'technical death metal']"
27,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
28,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
29,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
30,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
31,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
32,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
33,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
34,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
35,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
36,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
37,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
38,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
39,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
40,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
41,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
42,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
43,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
44,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
45,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
46,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
47,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
48,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
49,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
50,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
51,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
52,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
53,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
54,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
55,"['japanese classical', 'japanese vgm']"
56,"['japanese classical', 'japanese vgm']"
57,"['japanese classical', 'japanese vgm']"
58,"['japanese classical', 'japanese vgm']"
59,"['japanese classical', 'japanese vgm']"
60,"['japanese classical', 'japanese vgm']"
61,"['japanese classical', 'japanese vgm']"
62,"['japanese classical', 'japanese vgm']"
63,"['japanese classical', 'japanese vgm']"
64,"['japanese classical', 'japanese vgm']"
65,"['japanese classical', 'japanese vgm']"
66,"['japanese classical', 'japanese vgm']"
67,"['japanese classical', 'japanese vgm']"
68,"['japanese classical', 'japanese vgm']"
69,"['japanese classical', 'japanese vgm']"
70,"['japanese classical', 'japanese vgm']"
71,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']"
72,['japanese vgm']
73,"['japanese classical', 'japanese vgm']"
74,"['japanese classical', 'japanese vgm']"
75,"['japanese classical', 'japanese vgm']"
76,"['japanese classical', 'japanese vgm']"
77,"['japanese classical', 'japanese vgm']"
78,"['japanese classical', 'japanese vgm']"
79,"['japanese classical', 'japanese vgm']"
80,"['japanese classical', 'japanese vgm']"
81,"['japanese classical', 'japanese vgm']"
82,"['japanese classical', 'japanese vgm']"
83,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']"
84,"['japanese classical', 'japanese vgm']"
85,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']"
86,"['japanese classical', 'japanese vgm']"
87,"['japanese classical', 'japanese vgm']"
88,"['japanese classical', 'japanese vgm']"
89,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']"
90,"['japanese classical', 'japanese vgm']"
91,"['japanese classical', 'japanese vgm']"
92,"['japanese classical', 'japanese vgm']"
93,"['japanese classical', 'japanese vgm']"
94,"['japanese classical', 'japanese vgm']"
95,"['japanese classical', 'japanese vgm']"
96,"['japanese classical', 'japanese vgm']"
97,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']"
98,"['japanese classical', 'japanese vgm']"
99,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']"
100,"['japanese classical', 'japanese vgm']"
101,"['japanese classical', 'japanese vgm']"
102,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']"
103,"['japanese classical', 'japanese vgm']"
104,"['japanese classical', 'japanese vgm']"
105,[]
106,[]
107,[]
108,[]
109,[]
110,[]
111,[]
112,[]
113,[]
114,[]
115,[]
116,[]
117,[]
118,[]
119,[]
120,[]
121,[]
122,[]
123,[]
124,[]
125,[]
126,[]
127,[]
128,[]
129,[]
130,[]
131,[]
132,[]
133,[]
134,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
135,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
136,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
137,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
138,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
139,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
140,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
141,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
142,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
143,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
144,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
145,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
146,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
147,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
148,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
149,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
150,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
151,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
152,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
153,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
154,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
155,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
156,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
157,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
158,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
159,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
160,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
161,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
162,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
163,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
164,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
165,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
166,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
167,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
168,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
169,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'permanent wave', 'pop rock', 'rock']"
