,0
0,"['irish rock', 'permanent wave', 'rock']"
1,"['irish rock', 'permanent wave', 'rock']"
2,"['irish rock', 'permanent wave', 'rock']"
3,"['irish rock', 'permanent wave', 'rock']"
4,"['irish rock', 'permanent wave', 'rock']"
5,"['irish rock', 'permanent wave', 'rock']"
6,"['irish rock', 'permanent wave', 'rock']"
7,"['irish rock', 'permanent wave', 'rock']"
8,"['irish rock', 'permanent wave', 'rock']"
9,"['irish rock', 'permanent wave', 'rock']"
10,"['irish rock', 'permanent wave', 'rock']"
11,"['irish rock', 'permanent wave', 'rock']"
12,"['irish rock', 'permanent wave', 'rock']"
13,"['irish rock', 'permanent wave', 'rock']"
14,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
15,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
16,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
17,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
18,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
19,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
20,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
21,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
22,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
23,"['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'laboratorio']"
24,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
25,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
26,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
27,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
28,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
29,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
30,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
31,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
32,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
33,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
34,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
35,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
36,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
37,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
38,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'turntablism']"
39,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
40,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
41,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
42,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
43,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
44,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
45,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
46,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
47,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
48,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
49,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
50,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
51,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
52,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
53,"['austro-german modernism', 'avant-garde', 'classical', 'early modern classical', 'serialism']"
