,0
0,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']"
1,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']"
2,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']"
3,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']"
4,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']"
5,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']"
6,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']"
7,"['alternative metal', 'metal', 'progressive death metal', 'progressive metal', 'rock', 'swedish metal', 'swedish progressive metal']"
8,[]
9,"['baroque', 'classical', 'early music', 'german baroque']"
10,"['baroque', 'classical', 'early music', 'german baroque']"
11,"['baroque', 'classical', 'early music', 'german baroque']"
12,"['baroque', 'classical', 'early music', 'german baroque']"
13,"['baroque', 'classical', 'early music', 'german baroque']"
14,"['baroque', 'classical', 'early music', 'german baroque']"
15,"['baroque', 'classical', 'early music', 'german baroque']"
16,"['baroque', 'classical', 'early music', 'german baroque']"
17,"['baroque', 'classical', 'early music', 'german baroque']"
18,"['baroque', 'classical', 'early music', 'german baroque']"
19,"['baroque', 'classical', 'early music', 'german baroque']"
20,"['baroque', 'classical', 'early music', 'german baroque']"
21,"['baroque', 'classical', 'early music', 'german baroque']"
22,"['baroque', 'classical', 'early music', 'german baroque']"
23,"['baroque', 'classical', 'early music', 'german baroque']"
24,"['baroque', 'classical', 'early music', 'german baroque']"
25,"['baroque', 'classical', 'early music', 'german baroque']"
26,"['baroque', 'classical', 'early music', 'german baroque']"
27,"['baroque', 'classical', 'early music', 'german baroque']"
28,"['baroque', 'classical', 'early music', 'german baroque']"
29,"['baroque', 'classical', 'early music', 'german baroque']"
30,"['baroque', 'classical', 'early music', 'german baroque']"
31,"['baroque', 'classical', 'early music', 'german baroque']"
32,"['baroque', 'classical', 'early music', 'german baroque']"
33,"['baroque', 'classical', 'early music', 'german baroque']"
34,"['baroque', 'classical', 'early music', 'german baroque']"
35,"['baroque', 'classical', 'early music', 'german baroque']"
36,"['baroque', 'classical', 'early music', 'german baroque']"
37,"['baroque', 'classical', 'early music', 'german baroque']"
